onset	duration	trial_type	value
13.860000	0.000000	1	1
38.784000	0.000000	1	1
65.796000	0.000000	1	1
90.518000	0.000000	1	1
115.124000	0.000000	1	1
139.448000	0.000000	1	1
163.476000	0.000000	1	1
187.460000	0.000000	1	1
211.604000	0.000000	1	1
235.480000	0.000000	1	1
259.380000	0.000000	1	1
283.396000	0.000000	1	1
307.164000	0.000000	1	1
331.848000	0.000000	1	1
356.208000	0.000000	1	1
379.962000	0.000000	1	1
403.592000	0.000000	1	1
427.302000	0.000000	1	1
450.984000	0.000000	1	1
474.900000	0.000000	1	1
498.836000	0.000000	1	1
523.656000	0.000000	1	1
547.388000	0.000000	1	1
571.192000	0.000000	1	1
595.912000	0.000000	1	1
620.068000	0.000000	1	1
643.908000	0.000000	1	1
667.448000	0.000000	1	1
691.248000	0.000000	1	1
715.148000	0.000000	1	1
738.888000	0.000000	1	1
762.348000	0.000000	1	1
787.244000	0.000000	1	1
811.000000	0.000000	1	1
834.852000	0.000000	1	1
858.918000	0.000000	1	1
882.610000	0.000000	1	1
906.312000	0.000000	1	1
930.724000	0.000000	1	1
954.976000	0.000000	1	1
979.084000	0.000000	1	1
1003.482000	0.000000	1	1
1027.826000	0.000000	1	1
1052.050000	0.000000	1	1
1076.038000	0.000000	1	1
1100.306000	0.000000	1	1
1117.552000	0.000000	1	1
1122.490000	0.000000	1	1
1135.624000	0.000000	1	1
1186.984000	0.000000	1	1
